originalName,commonName
"",""
"111th Congress","111th Congress"
"112th Congress","112th Congress"
"AGNA USEMB Kabul Afghanistan","AGNA USEMB Kabul Afghanistan"
ALDAC,ALDAC
AM,AM
AP,AP
ASUNCION,ASUNCION
"Ereli, Adam","Adam Ereli"
"Szubin, Adam","Adam Szubin"
"Zaidi, Akbar S.","Akbar Zaidi"
Alec,Alec
"Ross, Alec","Alec Ross"
"Ross, Alec J","Alec Ross"
"S/SAIT: Ross, Alec","Alec Ross"
"S/SAIT:Ross, Alec","Alec Ross"
alec.ross,"Alec Ross"
rossaj@state.gov,"Alec Ross"
"Dupuy, Alex","Alex Dupuy"
"Thier, Alex","Alex Thier"
"Lieutenant Colonel Alfredo Najera","Alfredo Najera"
WellsAG@state.gov,"Alice Wells"
"Ramsay, Alston","Alston Ramsay"
"American Beverage Association","American Beverage Association"
Andrea.Palm@hhs.gov,"Andrea Palm"
Andrea_J_Palm,"Andrea Palm"
"Bernknopf, Andrew","Andrew Bernknopf"
"Mayock, Andrew","Andrew Mayock"
"Shapiro, Andrew J","Andrew Shapiro"
shapiroa@state.gov,"Andrew Shapiro"
"Gurria, Angel","Angel Gurria"
"Stock, Ann","Ann Stock"
"Patterson, Anne W","Anne Patterson"
pattersonaw@state.gov,"Anne Patterson"
"Wang, Anne","Anne Wang"
Anne-Marie,"Anne-Marie Slaughter"
"Anne-Marie Slaughter","Anne-Marie Slaughter"
"S/P:Slaughter, Ann-Marie","Anne-Marie Slaughter"
"Slaughter, Ann-Marie","Anne-Marie Slaughter"
"Slaughter, Anne- Marie","Anne-Marie Slaughter"
"Slaughter, Anne-Marie","Anne-Marie Slaughter"
"Slaughter, Anne-marie","Anne-Marie Slaughter"
SlaughterA@state.gov,"Anne-Marie Slaughter"
slaughtera@state.gov,"Anne-Marie Slaughter"
slaughtr,"Anne-Marie Slaughter"
"Lake, Anthony","Anthony Lake"
Tony,"Anthony Lake"
"Cooks, Arazi L","Arazi Cooks"
"Humphries, Arthur","Arthur Humphries"
"Valenzuela, Arturo A","Arturo Valenzuela"
"Valenzuela,Arturo A","Arturo Valenzuela"
valenzuelaaa@state.gov,"Arturo Valenzuela"
"S/SRAP:Bommer, Ashley","Ashley Bommer"
"Ki-moon, Ban","Ban Ki-moon"
"Obama, Barack","Barack Obama"
President,"Barack Obama"
BAM@Mikulski.senate.gov,"Barbara Mikulski"
"Mikulski, BAM","Barbara Mikulski"
"Mikulski, BAM (Mikulski)","Barbara Mikulski"
"Mikulski, Bam (Mitkulski)","Barbara Mikulski"
"Mikulski,BAM (Mikulski)","Barbara Mikulski"
bam@mikulski.senate.gov,"Barbara Mikulski"
"Crocker, Bathsheba N","Bathsheba Crocker"
Netanyahu,"Benjamin Netanyahu"
"Netanyahu, Benjamin","Benjamin Netanyahu"
"Bernadette, Meehan M","Bernadette Meehan"
"Meehan, Bernadette M","Bernadette Meehan"
MeehanB@state.gov,"Bernadette Meehan"
Besty.Ebeling@Illinois.gov,"Betsy Ebeling"
Betsy.Ebeling,"Betsy Ebeling"
Betsy.Ebeling@Illinois.gov,"Betsy Ebeling"
"Ebeling, Betsy","Betsy Ebeling"
betsy.ebeling,"Betsy Ebeling"
betsyebeling,"Betsy Ebeling"
betsyebeling1050,"Betsy Ebeling"
"Clinton, William J","Bill Clinton"
Dad,"Bill Clinton"
"Lane, Bill","Bill Lane"
"Mohamed, Binyam","Binyam Mohamed"
Biography,Biography
"E:Hormats, Bob","Bob Hormats"
"Klehr, Bonnie","Bonnie Klehr"
brian,"Brian Greenspun"
"Komorowski, Bronislaw","Bronislaw Komorowski"
"Garber Neidich, Brooke","Brooke Garber Neidich"
"Blair, Bruce","Bruce Blair"
"Ramer, Bruce","Bruce Ramer"
BStrider,"Burns Strider"
"Strider, Burns","Burns Strider"
"McHone, C H","C H McHone"
"CDEA, Ambassador Wayne","CDEA, Ambassador Wayne"
"Munter, Cameron P","Cameron Munter"
"Capricia Marshall","Capricia Marshall"
"Marshall, Capricia","Capricia Marshall"
"Marshall, Capricia P","Capricia Marshall"
capriciamarshall,"Capricia Marshall"
capriciamarshall@,"Capricia Marshall"
cmarshall,"Capricia Marshall"
marshallcp@state.gov,"Capricia Marshall"
"Pascual, Carlos","Carlos Pascual"
PascualC@state.gov,"Carlos Pascual"
"Reichel, Carlyn","Carlyn Reichel"
"Adler, Caroline E","Caroline Adler"
adlerce@state.gov,"Caroline Adler"
"Button, Case","Case Button"
"Ashton, Catherine","Catherine Ashton"
"Ashton, Catherine Margaret","Catherine Ashton"
"Graham, Catherine T","Catherine Graham"
"Richards, Cecile","Cecile Richards"
"EUR/RUS:Weson, Chad","Chad Weston"
Chairman,Chairman
"NEA/PI/CE:Kiamie, Charles","Charles Kiamie"
Chelsea,"Chelsea Clinton"
"BLAIR CHERIE","Cherie Blair"
"Blair Cherie","Cherie Blair"
"Blair, Cherie","Cherie Blair"
"CHERIE BLAIR","Cherie Blair"
cb,"Cherie Blair"
"cherie blair","Cherie Blair"
cherieblair,"Cherie Blair"
Cheryl,Cheryl
"C:Mills, Cheryl","Cheryl Mills"
"Cheryl Mills","Cheryl Mills"
"Cheryl Mills, COS","Cheryl Mills"
Cheryl.mills,"Cheryl Mills"
"MIlls, Cheryl D","Cheryl Mills"
"Mill, Cheryl","Cheryl Mills"
"Mills, Cherlyl D","Cheryl Mills"
"Mills, Chery D","Cheryl Mills"
"Mills, Cheryl","Cheryl Mills"
"Mills, Cheryl  D","Cheryl Mills"
"Mills, Cheryl D","Cheryl Mills"
"Mills, Cheyrl D","Cheryl Mills"
"Mills, cheryl","Cheryl Mills"
"Mills,Cheryl D","Cheryl Mills"
"Mills. Cherl D","Cheryl Mills"
"Mills. Cheryl D","Cheryl Mills"
MillsCD@state.gov,"Cheryl Mills"
cheryl.mills,"Cheryl Mills"
cheryl.mills@,"Cheryl Mills"
millcd@state.gov,"Cheryl Mills"
millscd@state.gov,"Cheryl Mills"
millsch@state.gov,"Cheryl Mills"
"cheryl.mills ;H","Cheryl Mills ;Hillary Clinton"
"Crocker, Chester A","Chester Crocker"
"Agor, Christina J","Christina Agor"
"Falvo, Christine","Christine Falvo"
"Butzgy, Christopher H","Christopher Butzgy"
"Edwards, Christopher","Christopher Edwards"
"EAP/J:Green, Christopher","Christopher Green"
"Hill, Christopher R (Baghdad)","Christopher Hill"
hillcr@state.gov,"Christopher Hill"
"Hickey, Cindy","Cindy Hickey"
